hh,urban,year,month,index,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur,totW,months1,weeks1,months2,weeks2,pay2,wage_total,bs_profit,other_inc,HHID,profit_ls,profit_agr,total_agrls,inctotal,w_share,agr_share,bus_share,sex,age,hhnum,father_educ,father_ocup,mother_educ,mother_ocup,writeread,classeduc,illdays,region,familysize
H37709-04-01,0,2014,4,2614,2777600.0,2777600.0,858000.0,2412800.0,364800.0,50000.0,,,22.0,7.0,63000.0,,0.0,0.0,377090401.0,0.0,49240.000000968575,49240.000000968575,98480.00000193715,,0.5,0.0,1.0,50.0,1.0,,,,,1.0,,,2.0,2
H37710-04-01,0,2014,4,2615,3282600.0,3282600.0,360000.0,2004600.0,1278000.0,4540000.0,,,,,,,0.0,0.0,377100401.0,-25950.0,643300.0000047685,617350.0000047685,1234700.000009537,,0.5,0.0,2.0,58.0,1.0,73.0,19.0,,,0.0,13.0,30.0,2.0,4
H37801-04-01,0,2014,3,2616,3253400.0,4289900.0,1835000.0,1640600.0,1612800.0,2760000.0,,,,,,,0.0,0.0,378010401.0,182000.0,405133.0,587133.0,1174266.0,,0.5,0.0,1.0,19.0,4.0,,,15.0,9.0,0.0,,,2.0,6
H37802-04-01,0,2013,10,2617,1451400.0,1451400.0,228000.0,1037400.0,414000.0,560000.0,,,,,,,0.0,0.0,378020401.0,0.0,805030.0,805030.0,1610060.0,,0.5,0.0,1.0,32.0,1.0,3.0,14.0,2.0,19.0,0.0,33.0,,2.0,5
H37803-04-01,0,2013,10,2618,4226800.0,4226800.0,1136400.0,3811600.0,415200.0,326000.0,,,,,,,0.0,0.0,378030401.0,1142000.0,142050.0,1284050.0,2568100.0,,0.5,0.0,1.0,23.0,1.0,17.0,19.0,17.0,19.0,0.0,34.0,,2.0,4
H37804-04-01,0,2014,3,2619,3587800.0,3587800.0,98000.0,2368600.0,1219200.0,742000.0,,,,,,,0.0,0.0,378040401.0,355000.0,30191.0,385191.0,770382.0,,0.5,0.0,2.0,74.0,1.0,,,,,0.0,13.0,14.0,2.0,4
H37805-04-01,0,2014,3,2620,729800.0,729800.0,56800.0,455000.0,274800.0,265000.0,12.0,4.0,6.0,2.0,,648000.0,0.0,0.0,378050401.0,0.0,31665.0,31665.0,711330.0,0.9109695921724095,0.044515203913795286,0.0,1.0,27.0,1.0,23.0,99.0,1.0,19.0,1.0,16.0,,2.0,1
H37806-04-01,0,2013,10,2621,1262900.0,1262900.0,0.0,661700.0,601200.0,610000.0,,,6.0,1.0,2500.0,,0.0,0.0,378060401.0,0.0,27300.0,27300.0,54600.0,,0.5,0.0,2.0,93.0,1.0,,,,,1.0,14.0,14.0,2.0,2
H37807-04-01,0,2014,3,2622,7457600.0,7557600.0,420000.0,5314400.0,2143200.0,1868000.0,,,8.0,4.0,,,970000.0,0.0,378070401.0,32000.0,1441350.0,1473350.0,3916700.0,,0.37617126662751804,0.24765746674496386,1.0,34.0,1.0,17.0,19.0,,,0.0,33.0,8.0,2.0,7
H37808-04-01,0,2014,3,2623,6681400.0,6681400.0,180000.0,5722600.0,958800.0,1340000.0,,,,,,,0.0,0.0,378080401.0,506000.0,-25240.0,480760.0,961520.0,,0.5,0.0,2.0,76.0,1.0,,,,,1.0,13.0,,2.0,13
H37809-04-01,0,2013,10,2624,1420000.0,1420000.0,34400.0,1066000.0,354000.0,565000.0,24.0,5.0,,,,144000.0,0.0,0.0,378090401.0,0.0,4000.0,4000.0,152000.0,0.9473684210526315,0.02631578947368421,0.0,2.0,44.0,1.0,1.0,99.0,,,1.0,,7.0,2.0,12
H37810-04-01,0,2013,10,2625,3076400.0,3076400.0,0.0,2397200.0,679200.0,655000.0,23.0,8.0,14.0,3.0,,1512000.0,0.0,0.0,378100401.0,375400.0,31370.0,406770.0,2325540.0,0.6501715730540003,0.17491421347299982,0.0,2.0,56.0,1.0,2.0,99.0,,,1.0,14.0,,2.0,6
H37901-04-01,1,2014,2,2626,2116800.0,2116800.0,356000.0,1528800.0,588000.0,1556000.0,,,,,,,0.0,0.0,379010401.0,0.0,175555.0,175555.0,351110.0,,0.5,0.0,1.0,44.0,1.0,,,,,1.0,,30.0,2.0,3
H37902-04-01,0,2014,8,2627,3517200.0,4020200.0,975600.0,2605200.0,912000.0,4500000.0,,,8.0,4.0,,,90000.0,0.0,379020401.0,821800.0,257290.0,1079090.0,2248180.0,,0.47998380912560384,0.04003238174879235,1.0,50.0,1.0,,,12.0,13.0,1.0,13.0,,2.0,4
H37903-04-01,0,2014,2,2628,2445600.0,2445600.0,202000.0,1622400.0,823200.0,633000.0,,,,,,,50000.0,0.0,379030401.0,0.0,-21455.0,-21455.0,7090.0,,-3.0260930888575457,7.052186177715091,1.0,37.0,1.0,15.0,19.0,73.0,19.0,0.0,15.0,,2.0,3
H37905-04-01,0,2014,2,2629,3160000.0,3160000.0,504000.0,2516800.0,643200.0,2095000.0,,,,,,,0.0,0.0,379050401.0,520000.0,1314710.0,1834710.0,3669420.0,,0.5,0.0,1.0,39.0,1.0,,,13.0,19.0,0.0,31.0,5.0,2.0,6
H37906-04-01,0,2014,8,2630,3071000.0,3071000.0,634000.0,2436200.0,634800.0,2785000.0,,,11.0,4.0,,,43600.0,0.0,379060401.0,0.0,221200.0,221200.0,486000.0,,0.4551440329218107,0.0897119341563786,1.0,61.0,1.0,,,1.0,9.0,1.0,,7.0,2.0,3
H37908-04-01,0,2014,8,2632,8260900.0,8260900.0,720000.0,6584500.0,1676400.0,1131000.0,,,,,,,0.0,0.0,379080401.0,0.0,5547300.0,5547300.0,11094600.0,,0.5,0.0,1.0,50.0,1.0,,,,,0.0,16.0,,2.0,10
H37909-04-01,0,2014,2,2633,2153400.0,2153400.0,1664000.0,1700400.0,453000.0,248000.0,,,,,,,3000.0,0.0,379090401.0,0.0,25100.000002980236,25100.000002980236,53200.00000596047,,0.4718045112813545,0.05639097743729104,1.0,80.0,1.0,,,,,1.0,14.0,25.0,2.0,1
H37910-04-01,0,2014,2,2634,3512800.0,3512800.0,617200.0,3172000.0,340800.0,550000.0,,,,,,,0.0,0.0,379100401.0,156000.0,32500.0,188500.0,377000.0,,0.5,0.0,2.0,18.0,1.0,15.0,5.0,33.0,19.0,1.0,16.0,14.0,2.0,1
H38001-04-01,1,2014,8,2635,2400000.0,2400000.0,460800.0,1669200.0,730800.0,1105000.0,,,,,,,0.0,0.0,380010401.0,-21000.0,729525.0,708525.0,1417050.0,,0.5,0.0,1.0,54.0,1.0,,,,,1.0,,,2.0,7
H38003-04-01,0,2014,2,2637,1060000.0,1060000.0,184000.0,504400.0,555600.0,1154000.0,,,,,,,10200.0,0.0,,,,,10200.0,,,1.0,2.0,58.0,1.0,,,,,0.0,13.0,20.0,2.0,1
H38004-04-01,0,2014,8,2638,5394800.000154972,5394800.000154972,456000.0,3489200.000154972,1905600.0,4350000.0,,,,,,,0.0,0.0,380040401.0,496000.0,676000.0,1172000.0,2344000.0,,0.5,0.0,1.0,43.0,1.0,,,,,1.0,12.0,,2.0,10
H38006-04-01,0,2014,8,2639,2295200.0,2295200.0,294000.0,1523600.0,771600.0,1615000.0,12.0,4.0,12.0,4.0,,240000.0,0.0,0.0,380060401.0,0.0,50300.0,50300.0,340600.0,0.7046388725778039,0.14768056371109806,0.0,1.0,26.0,1.0,1.0,19.0,13.0,19.0,1.0,12.0,,2.0,6
H38007-04-01,0,2014,2,2640,2976000.0,2976000.0,72000.0,2293200.0,682800.0,460000.0,,,,,,,500000.0,0.0,380070401.0,307800.0,400100.0,707900.0,1915800.0,,0.3695062115043324,0.26098757699133524,2.0,41.0,2.0,31.0,19.0,73.0,99.0,0.0,17.0,,2.0,7
H38008-04-01,0,2014,2,2641,2387200.0,2387200.0,72000.0,1877200.0,510000.0,345000.0,,,,,,,0.0,0.0,380080401.0,0.0,1308700.0,1308700.0,2617400.0,,0.5,0.0,1.0,28.0,1.0,17.0,19.0,73.0,19.0,0.0,33.0,,2.0,5
H38009-04-01,1,2014,2,2642,6268000.0,6268000.0,880000.0,4966000.0,1302000.0,6030000.0,8.0,4.0,,,,2800000.0,218000.0,0.0,380090401.0,732800.0,481195.0,1213995.0,5445990.0,0.5141397615493234,0.22291539279359676,0.04002945286348304,1.0,39.0,1.0,73.0,19.0,,,0.0,41.0,,2.0,4
H38010-04-01,1,2014,2,2643,5905200.0,5905200.0,1196000.0,1092000.0,4813200.0,1890000.0,,,,,,,0.0,0.0,380100401.0,-95500.0,725300.0,629800.0,1259600.0,,0.5,0.0,1.0,28.0,1.0,,,,,0.0,15.0,,2.0,4
H38101-04-01,0,2014,1,2644,5794400.0,5794400.0,180000.0,4019600.0,1774800.0,3533000.0,,,6.0,2.0,,,30000.0,0.0,381010401.0,429800.0,-16200.0,413600.0,857200.0,,0.4825011665888941,0.03499766682221185,1.0,41.0,1.0,,,73.0,19.0,0.0,16.0,,2.0,7
H38102-04-01,0,2014,1,2645,5320000.0,5320000.0,336000.0,3874000.0,1446000.0,1350000.0,,,,,,,0.0,0.0,381020401.0,81000.0,592733.0,673733.0,1347466.0,,0.5,0.0,1.0,55.0,1.0,,,,,1.0,14.0,,2.0,8
H38103-04-01,0,2014,1,2646,2194600.0,2194600.0,180000.0,1651000.0,543600.0,1630000.0,,,10.0,4.0,40000.0,,0.0,0.0,381030401.0,0.0,306990.0,306990.0,613980.0,,0.5,0.0,1.0,35.0,1.0,17.0,1.0,73.0,19.0,0.0,33.0,,2.0,6
H38104-04-01,0,2014,7,2647,3247000.0,3247000.0,720000.0,1791400.0,1455600.0,2140000.0,9.0,3.0,3.0,,,877500.0,0.0,0.0,381040401.0,-6000.0,164890.0,158890.0,1195280.0,0.734137607924503,0.13293119603774847,0.0,1.0,62.0,1.0,,,,,0.0,14.0,,2.0,10
H38105-04-01,0,2014,1,2648,4770600.0,4770600.0,480000.0,2940600.0,1830000.0,4320000.0,,,,,,,61400.0,0.0,381050401.0,0.0,1572129.999998957,1572129.999998957,3205659.999997914,,0.49042318898447745,0.019153622031045075,1.0,33.0,1.0,17.0,18.0,73.0,18.0,1.0,15.0,,2.0,9
H38106-04-01,0,2014,7,2649,1199200.000154972,1199200.000154972,228000.0,800800.0001549721,398400.0,104000.0,,,,,,,0.0,0.0,381060401.0,46800.0,226045.0,272845.0,545690.0,,0.5,0.0,2.0,61.0,1.0,,,,,1.0,,,2.0,1
H38107-04-01,0,2014,1,2650,5606800.0,5606800.0,480000.0,3515200.0,2091600.0,1567500.0,,,,,,,0.0,0.0,381070401.0,-4000.0,186933.0,182933.0,365866.0,,0.5,0.0,1.0,31.0,1.0,17.0,18.0,32.0,18.0,0.0,13.0,,2.0,7
H38108-04-01,0,2014,7,2651,2449600.0,2449600.0,348000.0,1736800.0,712800.0,508000.0,,,,,,,14000.0,0.0,381080401.0,-1400.0,440860.0,439460.0,892920.0,,0.4921605518971464,0.01567889620570712,1.0,27.0,1.0,,19.0,99.0,19.0,1.0,16.0,14.0,2.0,5
H38109-04-01,0,2014,7,2652,5555200.0,5555200.0,1804000.0,4076800.0,1478400.0,23350000.0,9.0,4.0,6.0,4.0,,18756000.0,0.0,1500000.0,381090401.0,71000.0,5001465.000001192,5072465.000001192,30400930.000002384,0.6169548102639797,0.16685229695278384,0.0,1.0,54.0,1.0,,,73.0,13.0,0.0,51.0,3.0,2.0,11
H38110-04-01,0,2014,7,2653,3159200.0,3159200.0,415200.0,2225600.0,933600.0,3405000.0,,,,,,,0.0,0.0,381100401.0,481500.0,1387852.0,1869352.0,3738704.0,,0.5,0.0,1.0,40.0,1.0,1.0,19.0,73.0,19.0,0.0,17.0,,2.0,9
H38201-04-01,0,2013,11,2654,6873200.0,6873200.0,560000.0,6266000.0,607200.0,722000.0,10.0,4.0,8.0,3.0,,850000.0,0.0,40000.0,382010401.0,699000.0,245412.99998283386,944412.9999828341,2778825.9999656677,0.3058845714019164,0.3398604302660556,0.0,1.0,60.0,1.0,,,,,0.0,31.0,7.0,2.0,10
H38202-04-01,0,2013,11,2655,6228000.0,6228000.0,210000.0,5116800.0,1111200.0,14210000.0,,,12.0,4.0,,,130000.0,0.0,382020401.0,0.0,76380.0,76380.0,282760.0,,0.2701230725703777,0.4597538548592446,2.0,48.0,1.0,,,,,1.0,,,2.0,11
H38203-04-01,0,2013,11,2656,1441100.0,1441100.0,24000.0,716300.0,724800.0,205000.0,4.0,2.0,6.0,2.0,,480000.0,0.0,0.0,382030401.0,0.0,108050.0,108050.0,696100.0,0.689556098261744,0.155221950869128,0.0,1.0,32.0,1.0,,,1.0,19.0,0.0,17.0,7.0,2.0,2
H38204-04-01,0,2013,11,2657,4536000.0,4536000.0,132000.0,3759600.0,776400.0,12590000.0,,,12.0,4.0,,,250000.0,0.0,382040401.0,-10000.0,1091735.0,1081735.0,2413470.0,,0.4482073528985237,0.1035852942029526,2.0,35.0,1.0,,,,,0.0,14.0,,2.0,8
H38205-04-01,0,2013,11,2658,1787000.0,1787000.0,324000.0,1266200.0,520800.0,125000.0,8.0,3.0,,,,1800000.0,0.0,0.0,,,,,1800000.0,1.0,,0.0,2.0,40.0,1.0,,,1.0,19.0,0.0,13.0,19.0,2.0,5
H38206-04-01,0,2014,5,2659,4262400.0,4262400.0,120000.0,3151200.0,1111200.0,4000000.0,,,,,,,0.0,0.0,382060401.0,558800.0,1827270.0000062585,2386070.0000062585,4772140.000012517,,0.5,0.0,2.0,30.0,1.0,17.0,19.0,73.0,19.0,0.0,17.0,14.0,2.0,6
H38207-04-01,0,2014,5,2660,2618000.0,2618000.0,241200.0,1586000.0,1032000.0,690000.0,,,8.0,1.0,35000.0,,0.0,0.0,382070401.0,0.0,675840.0000035763,675840.0000035763,1351680.0000071526,,0.5,0.0,1.0,40.0,1.0,,,,,0.0,13.0,,2.0,7
H38208-04-01,0,2014,5,2661,3989600.0,3989600.0,138200.0,2990000.0,999600.0,681000.0,8.0,4.0,4.0,1.0,,1200000.0,345000.0,0.0,382080401.0,10000.0,170629.50000211596,180629.50000211602,1906259.000004232,0.6295052246296731,0.09475601164464799,0.180982752081031,1.0,49.0,2.0,,1.0,73.0,19.0,0.0,51.0,,2.0,7
H38209-04-01,0,2014,5,2662,3638600.0,5346500.0,2068000.0,2451800.0,1186800.0,770000.0,,,,,,,0.0,0.0,382090401.0,-150.0,-8275.000003278254,-8425.000003278254,-16850.000006556507,,0.5,-0.0,2.0,59.0,1.0,,,,,1.0,13.0,23.0,2.0,5
